Bin ID	GTDB Taxonomy	NCBI Taxonomy	Completeness	Contamination	N50 (bp)	MAG size (bp)	GC (%)	No. of genes	classification	Relative Evolutionary Divergence	Phylum	Class	Order	Family	Genus	bin_name
VLC_078	Arachnia sp.	Arachnia sp.	94.76	1.94	30318	2856895	0.67	2801	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__	0.94435	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	Tuerk_Half_DAS_TuerkHalves_bin.79
VLC_079	Oleidesulfovibrio sp.	Oleidesulfovibrio sp.	94.58	0.05	129041	3836873	0.52	3446	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Oleidesulfovibrio;s__	0.92916	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Oleidesulfovibrio	crabs_bin.7
VLC_080	UPXZ01 sp.	Paludibacteraceae bacterium	94.56	0.8	30104	2906115	0.41	2635	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UPXZ01;s__	0.93895	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	UPXZ01	old_originals_METABAT__206-contigs
VLC_081	Mangrovibacterium sp.	Mangrovibacterium sp.	94.47	0.82	91719	2416906	0.41	1997	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mangrovibacterium;s__	0.91917	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium	old_originals_METABAT__410-contigs
VLC_082	Beutenbergiaceae sp.	Beutenbergiaceae bacterium	94.39	3.62	41770	2584929	0.64	2479	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Beutenbergiaceae;g__;s__	0.91155	Actinobacteriota	Actinomycetia	Actinomycetales	Beutenbergiaceae		Tuerk_Half_DAS_TuerkHalves_bin.427
VLC_083	UBA7332 sp.	Bacteroidales bacterium	94.37	0.26	10612	2985209	0.43	2787	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA7332;g__UBA7332;s__	0.86087	Bacteroidota	Bacteroidia	Bacteroidales	UBA7332		Tuerk_Half_DAS_TuerkHalves_bin.431
VLC_084	Dysgonomonas sp.	Dysgonomonas sp.	94.25	2.51	67715	4055402	0.37	3591	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__	0.94936	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	old_originals_METABAT__332-contigs
VLC_085	Bacteroides graminisolvens	Bacteroides graminisolvens	94.25	0.29	17286	3422346	0.41	3031	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides graminisolvens	N/A	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Tuerk_Half_DAS_TuerkHalves_bin.305
VLC_086	Microbacterium sp.	Microbacterium sp.	94.24	2.95	20919	3283295	0.69	3306	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	0.9581	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Tuerk_Half_DAS_TuerkHalves_bin.83_sub
VLC_087	JAEUMD01 sp.	Hyphomicrobiaceae bacterium	94.14	1.77	7188	3389401	0.57	3469	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__	0.93462	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	JAEUMD01	Tuerk_Half_DAS_TuerkHalves_bin.315
VLC_088	Dysgonomonas sp.	Dysgonomonas sp.	94.06	9.85	26753	4790442	0.37	4464	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__	0.97065	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	crabs_bin.352
VLC_089	Azonexus sp900549295	Azonexus sp.	93.98	0.47	11041	2421938	0.64	2523	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus sp900549295	N/A	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Tuerk_Half_DAS_TuerkHalves_bin.137
VLC_090	Dysgonomonas sp002482385	Dysgonomonas sp.	93.94	4.67	42762	4337223	0.4	3633	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp002482385	N/A	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	old_originals_METABAT__437-contigs
VLC_091	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	93.91	1.48	157842	6190603	0.43	4870	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	N/A	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	old_originals_METABAT__183-contigs
VLC_092	Anaerotignum sp.	Anaerotignum sp.	93.77	2	6874	1868791	0.38	2004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	0.94974	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Tuerk_Half_DAS_TuerkHalves_bin.408
VLC_093	Alphaproteobacteria sp.	Alphaproteobacteria bacterium	93.73	2.23	52450	2123149	0.4	2010	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	0.53371	Proteobacteria	Alphaproteobacteria				old_originals_METABAT__358-contigs
VLC_094	Tropicimonas sp.	Tropicimonas sp.	93.64	8.53	35008	4573370	0.66	4433	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicimonas;s__	0.98147	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas	crabs_bin.268
VLC_095	Bacteroides xylanisolvens	Bacteroides xylanisolvens	93.62	9	57526	7346975	0.41	5841	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	N/A	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	old_originals_METABAT__271-contigs
VLC_096	Anaerocolumna sp.	Anaerocolumna sp.	93.4	0.03	34864	3904114	0.34	3459	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna;s__	0.92508	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	old_originals_METABAT__200-contigs
VLC_097	Mangrovibacterium sp.	Mangrovibacterium sp.	93.34	4.53	21822	4239118	0.46	3755	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mangrovibacterium;s__	0.93076	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium	crabs_bin.498
VLC_098	JAAYCI01 sp.	Ruminococcaceae bacterium	93.27	1.62	34362	2977434	0.47	2898	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	0.88347	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	JAAYCI01	Tuerk_Half_DAS_TuerkHalves_nocov.84_sub
VLC_099	Parachlamydiaceae sp.	Parachlamydiaceae bacterium	93.21	2.44	13788		0.46	2549	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__;s__	0.85353	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae		Tuerk_Half_DAS_TuerkHalves_maxbin.370_sub
VLC_100	Halodesulfovibrio sp.	Halodesulfovibrio sp.	92.99	2.52	21213	4128835	0.57	3839	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;s__	0.98487	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	crabs_nocov.24_sub
VLC_101	Bacteroidales sp.	Bacteroidales bacterium	92.9	0.71	31609	2610130	0.41	2378	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	0.74229	Bacteroidota	Bacteroidia	Bacteroidales			crabs_bin.223
VLC_102	Microtrichaceae sp.	Microtrichaceae bacterium	92.75	1.76	19389	3654096	0.67	3534	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__;s__	0.85588	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae		Tuerk_Half_DAS_TuerkHalves_bin.95
VLC_103	Desertimonas sp.	Desertimonas sp.	92.52	2.37	20184	3977315	0.7	4014	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Desertimonas;s__	0.87696	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Desertimonas	Tuerk_Half_DAS_TuerkHalves_bin.288
VLC_104	Moheibacter sp.	Moheibacter sp.	92.33	4.06	20990	2308769	0.34	2334	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter;s__	0.928	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Moheibacter	Tuerk_Half_DAS_TuerkHalves_bin.349
VLC_105	Microbacterium sp.	Microbacterium sp.	92.16	3.43	29515	2084114	0.69	2094	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	0.93632	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	old_originals_METABAT__424-contigs
VLC_106	Tropicimonas sp.	Tropicimonas sp.	92.1	1.36	28904	3493884	0.65	3404	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicimonas;s__	0.95717	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas	Tuerk_Half_DAS_TuerkHalves_bin.237
VLC_107	Xiphinematobacteraceae sp.	Chthoniobacterales bacterium	91.92	0.01	13064	2466470	0.49	2476	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__;s__	0.75031	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae		Tuerk_Half_DAS_TuerkHalves_bin.261
VLC_108	Mangrovibacterium sp.	Mangrovibacterium sp.	91.89	0.91	26005	3103440	0.39	2508	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mangrovibacterium;s__	0.91759	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium	crabs_bin.205
VLC_109	Paracoccus sp.	Paracoccus sp.	91.74	1.52	19942	2882721	0.56	3046	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	0.98778	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	crabs_bin.119
VLC_110	Castellaniella sp.	Castellaniella sp.	91.71	1.23	111946	2831004	0.65	2619	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Castellaniella;s__	0.98527	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Castellaniella	old_originals_METABAT__217-contigs
VLC_111	Demequina sp.	Demequina sp.	91.64	9.93	7059	2973876	0.69	3208	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__	0.98787	Actinobacteriota	Actinomycetia	Actinomycetales	Demequinaceae	Demequina	crabs_bin.178
VLC_112	Ga0077555 sp.	Hyphomicrobiaceae bacterium	91.48	5.57	7267	4936968	0.63	5072	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Ga0077555;s__	0.95733	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ga0077555	Tuerk_Half_DAS_TuerkHalves_bin.430
VLC_113	Paracoccus sp.	Paracoccus sp.	91.47	9.94	7498	4315115	0.66	4838	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	0.99258	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	old_originals_METABAT__216-contigs
VLC_114	Rhodoblastus sp.	Rhodoblastus sp.	91.27	0.51	25634	3214082	0.64	3098	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__	0.92308	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Rhodoblastus	old_originals_METABAT__77-contigs
VLC_115	UBA3375 sp.	Mycoplasmatales bacterium	91.22	7.89	19897	1468599	0.26	1484	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__UBA3375;g__;s__	0.84055	Firmicutes	Bacilli	Mycoplasmatales	UBA3375		crabs_bin.204
VLC_116	Tenacibaculum sp.	Tenacibaculum sp.	91.01	0	38858	2573578	0.33	2136	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum;s__	0.97551	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	old_originals_METABAT__333-contigs
VLC_117	UBA3375 sp.	Mycoplasmatales bacterium	90.92	7.77	27701	991124	0.27	1069	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__UBA3375;g__;s__	0.84058	Firmicutes	Bacilli	Mycoplasmatales	UBA3375		crabs_bin.234
VLC_118	UJ101 sp.	Flavobacteriales bacterium	90.89	0.12	14643	1629569	0.31	1568	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__	0.96718	Bacteroidota	Bacteroidia	Flavobacteriales	UJ101	UJ101	porc_Full_DAS_AndFulls_bin.4
VLC_119	Qingshengfaniella sp.	Qingshengfaniella sp.	90.77	0.95	34211	3204093	0.64	3071	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Qingshengfaniella;s__	0.94984	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Qingshengfaniella	Tuerk_Half_DAS_TuerkHalves_bin.142_sub
VLC_120	Parahaliea sp.	Parahaliea sp.	90.62	0.49	5230	3534554	0.63	3733	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Parahaliea;s__	0.95292	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Parahaliea	Birg_Half_DAS_BirgitHalves_bin.45
VLC_121	UBA5026 sp.	Bacilli bacterium	90.55	0.09	105097	977605	0.25	1051	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5026;s__	0.92798	Firmicutes	Bacilli	RF39	UBA660	UBA5026	old_originals_METABAT__282-contigs
VLC_122	Beutenbergiaceae sp.	Beutenbergiaceae bacterium	90.46	2.87	71829	2989408	0.66	2855	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Beutenbergiaceae;g__;s__	0.91584	Actinobacteriota	Actinomycetia	Actinomycetales	Beutenbergiaceae		Tuerk_Half_DAS_TuerkHalves_bin.393
VLC_123	CADEDH01 sp.	Acidimicrobiales bacterium	90.4	2.65	22849	4276914	0.71	4094	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	0.88325	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	SZUA-35	CADEDH01	Tuerk_Half_DAS_TuerkHalves_bin.450
VLC_124	Lacrimispora sphenoides_A	Lacrimispora sphenoides	90.32	4.45	14751	5235146	0.44	5166	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lacrimispora;s__Lacrimispora sphenoides_A	N/A	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora	old_originals_METABAT__139-contigs
VLC_125	Erysipelotrichaceae sp.	Erysipelotrichaceae bacterium	90.3	2.23	24573	1345357	0.31	1367	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	0.77874	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae		Birg_Half_DAS_BirgitHalves_bin.89
VLC_126	Draconibacterium sp.	Draconibacterium sp.	90.13	6.44	6542	5014037	0.43	4916	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__	0.99524	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	Birg_Half_DAS_BirgitHalves_bin.38_sub
VLC_127	Macellibacteroides fermentans	Macellibacteroides fermentans	90.09	0.33	51099	4127497	0.41	3425	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans	N/A	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Macellibacteroides	old_originals_METABAT__479-contigs
VLC_128	UBA660 sp.	Bacilli bacterium	90.08	1.29	40567	872413	0.24	971	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	0.77665	Firmicutes	Bacilli	RF39	UBA660		crabs_bin.393
VLC_129	Kluyvera sp.	Kluyvera sp.	90.07	2.86	74372	5138619	0.56	4742	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__	0.99512	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	old_originals_METABAT__82-contigs
